id,mahalle,fiyat,brut,net,kat,bina_kat,banyo_sayi,isitma,oda_sayisi,site_ici,tarih,bina_yasi,balkon,asansor,cephe_K,cephe_B,cephe_D,cephe_G,deniz_man,nizam,longitude,latitude
1267,guvenevler,325000,145,130,3,6,1,0,2,1,2021/09/29,11,0,,0,1,0,0,1,0,34.588,36.783
1268,guvenevler,495000,165,165,2,4,1,0,2,1,2021/09/07,9,0,1,1,0,0,1,1,0,34.588,36.783
1269,guvenevler,365000,180,145,5,5,1,0,2,1,2021/09/03,9,0,0,1,0,1,0,1,0,34.588,36.783
1270,guvenevler,790000,180,165,6,10,1,1,2,1,2021/08/03,8,0,0,0,1,0,0,1,0,34.587,36.784
1271,guvenevler,500000,165,150,1,9,1,0,2,1,2021/09/14,9,0,0,1,0,0,0,1,0,34.592,36.785
1272,guvenevler,850000,180,179,1,10,2,1,2,0,2021/09/09,5,0,0,0,1,0,0,1,0,34.592,36.785
1273,guvenevler,880000,280,240,3,13,2,1,3,0,2021/08/01,8,0,0,0,0,1,0,1,0,34.591,36.785
1274,guvenevler,1400000,260,220,7,12,2,1,3,0,2021/09/21,7,0,0,0,1,0,0,1,0,34.591,36.785
1275,guvenevler,1750000,250,220,7,20,2,2,4,0,2021/09/03,0,0,0,0,0,0,0,1,0,34.590,36.785
1276,guvenevler,330000,137,120,1,4,1,0,2,1,2021/09/03,10,0,1,0,0,0,0,1,0,34.591,36.785
1277,guvenevler,310000,125,115,2,4,1,0,2,0,2021/09/30,11,0,1,1,0,0,1,1,1,34.590,36.786
1278,guvenevler,275000,90,80,2,10,1,0,1,0,2021/09/25,10,0,0,0,1,0,1,1,0,34.591,36.786
1279,guvenevler,325000,120,100,10,10,1,1,1,0,2021/07/16,10,0,0,1,0,0,0,1,0,34.592,36.786
1280,guvenevler,300000,87,70,3,10,1,0,1,0,2021/09/17,11,0,0,1,1,0,0,1,0,34.591,36.786
1281,guvenevler,365000,120,110,8,10,1,0,1,0,2021/08/24,11,0,0,1,1,0,0,1,1,34.591,36.786
1282,guvenevler,340000,130,115,0,8,1,1,1,1,2021/09/29,8,0,0,1,0,0,1,1,0,34.590,36.786
1283,guvenevler,330000,140,125,10,10,1,1,1,0,2021/09/17,10,0,0,1,0,1,0,1,0,34.590,36.787
1284,guvenevler,294000,155,110,3,6,1,0,2,1,2021/09/30,11,0,0,0,1,0,0,1,0,34.592,36.786
1285,guvenevler,580000,220,180,1,10,2,0,2,0,2021/09/08,9,0,0,0,0,1,0,1,0,34.586,36.785
1286,guvenevler,1750000,250,200,7,23,2,1,4,0,2021/10/01,3,0,0,0,0,1,0,1,0,34.590,36.784
1287,guvenevler,429000,160,140,3,4,1,1,2,1,2021/09/16,10,1,1,0,1,0,0,1,0,34.591,36.782
1288,guvenevler,429000,150,130,3,4,1,0,2,1,2021/09/29,8,1,1,0,1,0,0,1,0,34.590,36.782
1289,guvenevler,429000,175,174,3,4,1,0,2,1,2021/09/28,7,0,1,0,1,0,0,1,0,34.589,36.783
1290,guvenevler,322000,150,110,1,10,1,1,1,0,2021/09/29,9,0,0,0,0,1,1,1,0,34.587,36.784
1291,guvenevler,275000,120,119,1,4,1,0,1,0,2021/09/17,10,0,1,0,0,1,1,1,0,34.591,36.784
1292,guvenevler,320000,150,130,1,4,1,0,2,1,2021/09/25,10,0,1,0,0,0,1,1,1,34.592,36.785
1293,guvenevler,344000,125,110,3,4,1,0,2,1,2021/09/04,8,0,1,0,0,0,1,1,1,34.592,36.784
1294,guvenevler,340000,140,120,1,4,1,0,2,1,2021/09/13,10,0,1,0,0,0,0,1,0,34.592,36.785
1295,guvenevler,350000,170,125,2,4,1,0,2,1,2022/09/15,10,0,1,1,1,0,0,1,1,34.593,36.783
1296,guvenevler,290000,150,120,3,3,1,1,1,1,2021/09/08,10,0,1,1,0,0,1,1,1,34.593,36.783
1297,guvenevler,270000,120,100,4,4,1,1,1,1,2021/09/06,10,0,1,1,0,0,1,1,1,34.592,36.783
1298,guvenevler,315000,145,135,4,4,1,0,2,1,2021/09/14,9,0,1,1,0,0,1,1,1,34.593,36.784
1299,guvenevler,255000,160,140,3,3,1,0,2,1,2021/09/12,9,0,1,0,0,1,0,1,0,34.594,36.785
1300,guvenevler,325000,165,155,2,4,1,0,2,1,2021/10/01,7,0,,0,0,1,0,1,0,34.594,36.785
1301,guvenevler,225000,140,130,2,4,1,0,2,1,2021/09/11,10,0,1,0,1,1,0,1,1,34.595,36.784
1302,guvenevler,295000,110,110,2,5,1,0,1,1,2021/09/12,10,0,1,1,1,1,0,1,0,34.595,36.784
1303,guvenevler,265000,140,130,4,4,1,0,2,1,2021/09/29,10,0,1,0,1,1,0,1,1,34.594,36.785
1304,guvenevler,260000,200,180,3,4,1,0,2,1,2021/09/21,10,0,1,0,1,1,0,1,0,34.595,36.785
1305,guvenevler,530000,180,150,4,5,1,0,2,1,2021/09/10,8,0,0,0,0,1,1,1,0,34.595,36.785
1306,guvenevler,265000,135,130,4,4,1,0,2,1,2021/09/11,9,0,1,0,1,1,0,1,1,34.595,36.785
1307,guvenevler,255000,140,130,2,4,1,0,2,1,2021/09/27,10,0,1,0,1,1,0,1,1,34.594,36.785
1308,guvenevler,300000,200,180,3,4,1,0,3,1,2021/09/24,10,0,1,0,1,1,0,1,1,34.594,36.784
800,Akkent,870000,180,160,12,14,1,1,2,0,2021/08/11,7,0,0,0,0,1,0,0,0,34.554,36.765
801,Akkent,335000,135,125,10,11,1,1,2,0,2021/08/20,8,0,0,0,0,1,0,1,0,34.555,36.766
802,Akkent,450000,120,100,3,9,1,1,2,1,2021/08/28,8,0,0,0,0,1,1,0,0,34.556,36.767
803,Akkent,330000,190,145,9,9,1,0,2,1,2021/08/24,8,0,0,0,1,0,1,1,1,34.555,36.767
804,Akkent,750000,240,185,3,7,2,1,3,1,2021/08/31,7,0,0,0,0,0,0,1,0,34.554,36.768
805,Akkent,749000,240,185,3,7,2,1,3,1,2021/08/19,7,0,0,0,0,0,0,0,0,34.554,36.768
806,Akkent,335000,85,80,3,7,1,1,0,0,2021/08/12,3,0,0,1,0,0,0,1,0,34.552,36.768
807,Akkent,800000,200,143,14,15,2,2,2,0,2021/08/14,3,0,0,0,0,0,0,1,0,34.551,36.769
808,Akkent,525000,135,120,4,6,1,1,2,0,2021/08/19,7,0,0,0,0,1,1,1,1,34.556,36.768
809,Akkent,750000,190,140,3,10,2,1,2,0,2021/08/31,6,0,0,1,0,0,0,1,0,34.556,36.769
810,Akkent,335000,180,150,1,10,1,1,2,0,2021/09/08,8,0,0,0,0,1,1,1,0,34.557,36.768
811,Akkent,350000,160,130,5,9,1,0,2,0,2021/09/03,8,0,0,0,0,1,1,1,0,34.557,36.769
812,Akkent,525000,140,135,4,6,1,1,2,0,2021/08/28,7,0,0,0,0,1,1,1,0,34.557,36.768
813,Akkent,350000,165,142,1,9,1,1,2,1,2021/09/06,8,0,0,0,0,1,1,1,0,34.557,36.769
814,Akkent,370000,155,130,3,9,1,0,2,1,2021/08/30,7,0,0,0,0,1,1,1,0,34.558,36.770
815,Akkent,480000,105,95,1,10,2,1,1,0,2021/09/09,3,0,0,0,0,1,1,1,0,34.557,36.770
816,Akkent,1500000,240,220,7,9,2,1,2,0,2021/08/27,6,0,0,1,1,0,0,0,0,34.557,36.770
817,Akkent,690000,195,170,2,18,2,1,2,0,2021/08/31,7,0,0,0,0,1,0,1,0,34.559,36.769
818,Akkent,325000,175,150,1,9,1,1,2,0,2021/08/30,8,0,0,0,0,1,1,1,0,34.559,36.769
819,Akkent,680000,180,160,3,6,1,0,2,1,2021/09/01,9,0,0,0,0,1,0,0,0,34.561,36.769
820,Akkent,690000,180,160,3,6,1,0,2,1,2021/09/09,9,0,0,0,0,1,0,0,0,34.560,36.768
821,Akkent,435000,150,138,1,14,1,0,2,1,2021/08/29,11,0,1,1,0,0,0,1,0,34.562,36.769
822,Akkent,328000,160,135,1,5,1,0,2,1,2021/09/09,9,0,1,1,0,0,1,1,1,34.554,36.770
823,Akkent,495000,200,170,7,12,1,1,2,1,2021/09/02,8,0,0,0,0,0,1,0,0,34.554,36.770
824,Akkent,654000,200,180,6,13,1,1,2,0,2021/08/16,7,0,0,0,1,0,0,1,0,34.555,36.770
825,Akkent,350000,185,184,2,2,1,0,2,0,2021/08/13,10,0,1,0,0,1,0,1,0,34.555,36.770
826,Akkent,450000,200,105,1,4,2,1,1,0,2021/09/07,6,0,0,1,0,1,0,1,0,34.554,36.771
827,Akkent,355000,135,125,10,11,1,0,2,0,2021/08/11,8,0,0,0,0,1,0,1,0,34.553,36.771
828,Akkent,375000,180,150,9,9,1,0,2,1,2021/08/22,6,0,0,0,0,1,1,1,0,34.554,36.771
829,Akkent,650000,175,150,14,14,2,1,2,0,2021/08/31,6,0,0,0,1,0,0,1,0,34.554,36.772
830,Akkent,289000,110,90,2,4,2,1,1,0,2021/08/12,4,0,0,1,1,0,0,1,0,34.555,36.772
831,Akkent,1300000,240,239,3,13,2,1,3,0,2021/09/04,0,0,0,0,0,1,0,1,0,34.555,36.772
